StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2_1,Q158_1,Q159_1,Q184_1,Q12_1,Q4_1,Q8_1,Q214_1,Q215_1,Q216_1,Q217_1,Q218_1,Q219_1,Q220_1,Q233_1,Q234_1,Q235_1,Q236_1,Q237_1,Q238_1,Q239_1,Q242_1,Q243_1,Q244_1,Q245_1,Q246_1,Q247_1,Q248_1,Q251_1,Q252_1,Q253_1,Q254_1,Q255_1,Q256_1,Q257_1,Q260_1,Q261_1,Q262_1,Q263_1,Q264_1,Q265_1,Q266_1,Q269_1,Q270_1,Q271_1,Q272_1,Q273_1,Q274_1,Q275_1,Q278_1,Q279_1,Q280_1,Q281_1,Q282_1,Q283_1,Q284_1,Q287_1,Q288_1,Q289_1,Q290_1,Q291_1,Q292_1,Q293_1,Q296_1,Q297_1,Q298_1,Q299_1,Q300_1,Q301_1,Q302_1,Q305_1,Q306_1,Q307_1,Q308_1,Q309_1,Q310_1,Q311_1,Q314_1,Q315_1,Q316_1,Q317_1,Q318_1,Q319_1,Q320_1,Q202_1,Q203_1,Q204_1,Q205_1,Q206_1,Q207,Q208,Q209,Q209,Q210,Q210 - Topics
6/13/18 17:10,6/13/18 17:24,IP Address,107.188.145.147,100,810,TRUE,6/13/18 17:24,R_eINuEj4E7cTkPiF,,,,,40.21809387,-111.6132965,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,3,3,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,3,3,4,4,,,,,,,,2,2,2,2,3,"While the generated chord structure of the two songs impressed me, the songs sounded quite similar (e.g. right hand piano root chord to root chord in repetitive quarter beats, similar sounding drum beats). However, both of these songs arose from tweets dealing with love/optimism. Other topics might demonstrate more diversity in created songs.",Yes,Yes,Absolutely,"The answer to the previous question depends on your definition of creativity. If viewed as a synthesis and recombination of prior work (i.e. 'standing on the shoulders of musical/artistic giants of previous times'), computers are definitely capable of creative work. ",Unknown
6/13/18 17:18,6/13/18 17:24,IP Address,155.201.42.150,100,358,TRUE,6/13/18 17:24,R_3qTNybRX4bHzQPQ,,,,,33.71159363,-117.8098984,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,4,4,5,4,2,3,2,4,4,4,3,2,4,3,3,2,4,The first song had lots of consecutive repeated notes in the melody - reminiscent of the first attempts of a new songwriter at writing a melody. Overall very impressive but that stuck out,Yes,Yes,Not sure,,
6/13/18 17:18,6/13/18 17:25,IP Address,192.150.9.200,100,421,TRUE,6/13/18 17:25,R_2wSKm6jZaiZjJlX,,,,,40.32449341,-111.9617996,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,3,2,2,3,3,,,,,,,,,,,,,,,,,,,,,,4,4,4,4,1,4,4,,,,,,,,,,,,,,,,,,,,,,3,3,5,3,3,"I thought the songs sounded good.  I think if I randomly heard one of the songs, not knowing it was created by an AI, and then learned it was created by an AI, I would not feel very surprised to know the song was made by an AI.",Yes,No,Not sure,"I think this survey would be a bit better if it just played the songs, without the survey taker knowing that the songs were generated by an AI.  At the end of the survey you could explain the songs were generated by an AI, and then ask how surprised the users are to know that the survey was created by an AI.",Unknown
6/13/18 17:29,6/13/18 17:34,IP Address,216.9.107.129,100,272,TRUE,6/13/18 17:34,R_1IoTMSWg2u87BMb,,,,,37.65339661,-122.4230957,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,4,3,4,,,,,,,,5,5,5,5,3,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,5,5,Never seen anything like this before,No,Yes,Absolutely,,
6/13/18 17:29,6/13/18 17:35,IP Address,73.228.97.243,100,374,TRUE,6/13/18 17:35,R_UckuM80K5ivbW7L,,,,,40.20899963,-111.473999,anonymous,EN,,,,,,,,4,4,4,4,3,4,4,,,,,,,,4,4,4,4,4,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,2,3,5,,No,Yes,Not sure,,
6/13/18 17:30,6/13/18 17:35,IP Address,38.93.192.148,100,301,TRUE,6/13/18 17:35,R_2zZ6e6JMx3GWV2u,,,,,47.61540222,-122.2102966,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,5,3,3,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,3,4,3,2,3,2,1,3,1,3,,Yes,No,Not sure,,
6/13/18 17:21,6/13/18 17:36,IP Address,128.187.116.10,100,918,TRUE,6/13/18 17:36,R_VWFlMnYOfYWWKvn,,,,,40.35629272,-111.7324982,anonymous,EN,,,,,,,,,,,,,,,3,3,3,2,1,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,4,4,3,4,2,,,,,,,,,,,,,,,2,2,4,2,4,,Yes,No,Not sure,,
6/13/18 17:32,6/13/18 17:38,IP Address,67.222.231.150,100,369,TRUE,6/13/18 17:38,R_CmP7jc7YvVIbI6R,,,,,40.29679871,-111.6761017,anonymous,EN,,,,,,,,,,,,,,,3,3,3,3,3,4,3,,,,,,,,,,,,,,,3,2,3,2,2,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,3,3,3,,No,Yes,Not sure,,
6/13/18 17:45,6/13/18 17:50,IP Address,24.11.62.239,100,281,TRUE,6/13/18 17:50,R_26btRuQIkEnEmZX,,,,,40.31430054,-111.7116013,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,4,4,5,3,4,4,4,5,4,2,4,4,,,,,,,,,,,,,,,4,2,4,2,5,,Yes,Yes,Absolutely,,
6/13/18 17:56,6/13/18 18:02,IP Address,73.11.16.7,100,358,TRUE,6/13/18 18:02,R_2VaKEEWhtX2ugYx,,,,,44.06900024,-123.0825043,social,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,3,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,3,3,4,3,3,4,4,3,3,3,,No,Yes,Not sure,,
6/13/18 17:56,6/13/18 18:07,IP Address,24.10.228.182,100,680,TRUE,6/13/18 18:07,R_2RPluxrKnR6ryHF,,,,,40.64830017,-111.4990005,social,EN,,,,,,,,5,5,5,5,5,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,4,4,3,3,4,,,,,,,,,,,,,,,5,4,5,4,4,I think it puts things together in a unique way but if it’s basing everything it does on existing info then I’m not sure it gets all points for unique creativity. ,No,Yes,Not sure,"Parts of the first one sounded exactly like Billy Joel Uptown Girl. And the lyrics didn’t make sense in several places. The second one was much more cohesive as far as lyrics. The composition of the music in both pieces was good, like I said, I heard Billy Joel in the first one. Made me wonder how much it relies on existing music. If it mixes up a few bars of different songs does that make it unique? I don’t know. I think it’s great that it’s capablenof doing all of that in its own though. And Twitter feeds for source material is awesome. :-)",Unknown
6/13/18 18:18,6/13/18 18:22,IP Address,73.3.78.216,100,229,TRUE,6/13/18 18:22,R_O9mJKU65QNJoaQN,,,,,40.46470642,-111.6332016,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,4,3,2,4,3,3,2,3,2,2,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,4,2,5,,No,Yes,Not sure,,
6/13/18 17:53,6/13/18 18:32,IP Address,140.247.83.180,100,2332,TRUE,6/13/18 18:32,R_2WNlqwYXhFXLhaq,,,,,42.38000488,-71.13289642,anonymous,EN,3,4,3,3,4,2,1,,,,,,,,,,,,,,,3,5,2,4,4,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,4,3,4,,Yes,No,Absolutely,,
6/13/18 18:39,6/13/18 18:43,IP Address,174.52.167.118,100,233,TRUE,6/13/18 18:43,R_1rvpN379Nq1DdIQ,,,,,40.31430054,-111.7116013,social,EN,2,2,3,3,4,3,3,,,,,,,,,,,,,,,3,3,3,3,4,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,2,3,2,,No,No,Not sure,,
6/13/18 18:38,6/13/18 18:44,IP Address,71.38.236.129,100,367,TRUE,6/13/18 18:44,R_BwR1ctGqGoeR6zn,,,,,36.17500305,-115.1371994,anonymous,EN,,,,,,,,,,,,,,,1,1,1,1,3,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,2,5,2,,,,,,,,4,3,5,3,5,,Yes,Yes,Not sure,,
6/13/18 18:43,6/13/18 18:46,IP Address,69.146.0.34,100,188,TRUE,6/13/18 18:46,R_3MLtdvdFXbcWquC,,,,,46.51719666,-112.1211014,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,4,4,2,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,5,4,3,3,4,3,3,4,2,3,,Yes,No,Absolutely,,
6/13/18 18:36,6/13/18 18:50,IP Address,162.246.103.171,100,871,TRUE,6/13/18 18:50,R_31ZqTBKXXF7I6fI,,,,,40.93640137,-111.8837967,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,4,3,3,4,5,,,,,,,,3,1,3,3,4,2,1,,,,,,,,,,,,,,,5,4,4,3,4,"Although I had never heard lyrics quite like pop*'s, the notes and themes did sound familiar. I think pop* is good at finding ideas and creating sounds to match those ideas and feelings- the lyrics are a little too creative for me though.",Yes,Yes,Not sure,Great work! That was pretty impressive! ,Unknown
6/13/18 16:08,6/13/18 18:56,IP Address,70.103.180.85,100,10038,TRUE,6/13/18 18:56,R_ZD0vTPlzEs9duEh,,,,,40.31430054,-111.7116013,social,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,5,3,5,3,4,,,,,,,,,,,,,,,3,2,4,5,4,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,4,4,4,,Yes,Yes,Not sure,,
6/13/18 19:13,6/13/18 19:24,IP Address,205.197.219.74,100,648,TRUE,6/13/18 19:24,R_NWkiP88tuzNfSOR,,,,,38.7532959,-112.1055984,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,3,1,5,2,,,,,,,,2,2,2,2,1,5,2,,,,,,,,,,,,,,,,,,,,,,1,2,1,1,3,"Pop* has unique lyrics that obviously try to tell a story, but does so terribly.  Random ""I"" gets inserted which ruins the already questionable flow of the lyrics.",Yes,No,Absolutely,"Love the idea.  Lyrics were rough. Music was alright.  If it truly created it's chords and motifs itself, not just from presets, then that's pretty cool. Get rid of the lyrics and give me a novel instrumental piece everytime it ran and I'd enjoy that more (significantly)",Unknown
6/13/18 19:39,6/13/18 19:49,IP Address,75.169.74.211,100,603,TRUE,6/13/18 19:49,R_1g1j71Tu9YS03DB,,,,,40.62469482,-111.7123032,social,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2,1,2,2,1,,,,,,,,,,,,,,,,,,,,,,3,1,2,3,2,2,2,,,,,,,,,,,,,,,4,2,4,2,4,The placement of the lyrics within the melody read certainly creative (in that it did follow songwriting norms). ,Yes,Yes,Not sure,This is certainly fascinating and the potential is awesome. ,Unknown
6/13/18 19:44,6/13/18 19:58,IP Address,72.192.216.87,100,840,TRUE,6/13/18 19:58,R_3Maj7hMvV5LmPnK,,,,,38.83569336,-77.33750153,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,4,4,3,2,3,,,,,,,,5,4,5,5,4,4,4,,,,,,,,,,,,,,,,,,,,,,4,3,5,4,3,,No,Yes,Absolutely,,
6/13/18 19:53,6/13/18 19:59,IP Address,76.27.82.73,100,385,TRUE,6/13/18 19:59,R_1MYvbUqnsyY1rfN,,,,,40.29029846,-111.7236023,social,EN,,,,,,,,,,,,,,,3,2,4,3,3,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,3,2,2,"Most of the musical choices and lyric choices are typical of any pop music composition, so the creativity scored lower based on the computers inability to “create” something new. Didn’t sound bad for computer generated choices, but I would not consider it creative-as in to create something new or original. ",Yes,Yes,Not sure,,
6/13/18 19:59,6/13/18 20:04,IP Address,45.56.39.237,100,268,TRUE,6/13/18 20:04,R_1PRDPLPlsDAPX23,,,,,40.21809387,-111.6132965,anonymous,EN,1,1,1,1,1,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,4,4,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,3,3,4,,No,No,Not sure,,
6/13/18 19:55,6/13/18 20:06,IP Address,116.251.6.230,100,617,TRUE,6/13/18 20:06,R_3Pc7LJvwvDjWVt4,,,,,-16.08670044,145.461792,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,3,2,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,2,2,3,2,1,,,,,,,,1,1,1,2,3,It combines things in new ways ,Yes,Yes,Never,Cool!!,Unknown
6/13/18 20:15,6/13/18 20:18,IP Address,73.96.92.102,100,229,TRUE,6/13/18 20:18,R_2rYGCdpGErjOMxE,,,,,44.06900024,-123.0825043,social,EN,2,2,3,3,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,3,3,1,2,2,,,,,,,,3,2,3,3,3,,Yes,Yes,Absolutely,,
6/13/18 20:17,6/13/18 20:24,IP Address,98.115.185.121,100,425,TRUE,6/13/18 20:24,R_2AHxgu69Kn648ZP,,,,,39.91929626,-75.41899872,social,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,4,2,2,5,3,4,2,5,2,1,4,2,,,,,,,,,,,,,,,,,,,,,,5,4,4,4,3,,No,Yes,Not sure,,
6/13/18 20:12,6/13/18 20:29,IP Address,107.188.149.158,100,1029,TRUE,6/13/18 20:29,R_24ibDUkuYpTWHZ3,,,,,40.21809387,-111.6132965,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,5,2,4,4,1,3,2,5,2,4,2,3,,,,,,,,,,,,,,,3,4,3,3,4,"even though the lyrics were pretty weird, there were some sentiments communicated like abstract poetry and the chord progressions were definitely convincingly chosen by pop.",Yes,Yes,Absolutely,Cool project. ,Unknown
6/13/18 20:27,6/13/18 20:36,IP Address,45.56.45.36,100,532,TRUE,6/13/18 20:36,R_3DbRcpO3hSfJrMm,,,,,40.33929443,-111.5709,anonymous,EN,,,,,,,,3,2,3,2,3,4,3,,,,,,,,2,1,2,2,3,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,3,4,2,,Yes,No,Absolutely,This and projects like Deep Dream convince me that a computers can produce creative works that humans never would. Getting them to produce original creative works that humans actually _like_ is an entirely different question.... ;-),Unknown
6/13/18 20:27,6/13/18 20:37,IP Address,76.173.7.90,100,602,TRUE,6/13/18 20:37,R_1KkbxEMyVNPVqXm,,,,,19.71080017,-155.8739929,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,2,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,4,2,3,3,4,2,2,2,4,,No,Yes,Never,,
6/13/18 20:27,6/13/18 20:38,IP Address,69.146.0.34,100,666,TRUE,6/13/18 20:38,R_2f7qS8fCPcKnZze,,,,,46.51719666,-112.1211014,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,3,3,4,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,1,2,3,2,,,,,,,,,,,,,,,1,1,2,2,2,,No,No,Absolutely,"I feel like you could have provided more background about how the vocals were provided and where the music came from (existing tracks, beats, Etc). Very interesting work!",Unknown
6/13/18 20:46,6/13/18 20:54,IP Address,184.99.114.222,100,464,TRUE,6/13/18 20:54,R_x5Uz8BIkD9TswvL,,,,,43.59919739,-116.4234009,anonymous,EN,,,,,,,,,,,,,,,3,2,3,3,4,3,4,3,1,4,3,4,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,2,3,4,"If creativity is making something novel, then this is a success. If creativity is making something novel that affects the feeling of the consumer then maybe not quite so successful.",Yes,Yes,Not sure,Very cool!,Unknown
6/13/18 20:59,6/13/18 21:04,IP Address,98.202.117.176,100,286,TRUE,6/13/18 21:04,R_2QWFXCWuGpVW7he,,,,,40.39300537,-111.7837982,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,3,3,5,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,3,3,5,,,,,,,,,,,,,,,,,,,,,,5,5,3,3,3,"The program ""Pop"" follows the formulas really well, but the ideas are not innovative, they are formulaic.  Still, very very cool",Yes,No,Absolutely,Very fun idea and application.  Good luck in the future!,Unknown
6/13/18 20:56,6/13/18 21:11,IP Address,50.24.10.21,100,895,TRUE,6/13/18 21:11,R_w1L0HBDZr3jPkDD,,,,,30.65829468,-96.32379913,social,EN,,,,,,,,2,3,1,3,3,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,1,2,4,1,,,,,,,,2,2,3,3,1,"I didn't think the songs were that good. The songs lacked feeling, and felt like some quasi-random lyrics mashed together.",Yes,Yes,Never,"Computers optimize algorithms. We can improve the algorithm, and increase it's complexity, but that's not creativity. But then....do humans do the same thing? Are we Human? Or are we Intel?",Unknown
6/13/18 21:04,6/13/18 21:12,IP Address,64.72.216.39,100,463,TRUE,6/13/18 21:12,R_2DUeXByN2k5iKwA,,,,,40.39300537,-111.7837982,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,5,5,5,2,5,3,2,5,4,3,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,5,3,4,"Pop* seems to be creative with the melodies and harmonies of the music it creates, but struggled somewhat with lyrics for one of the two compositions I was given.",No,Yes,Absolutely,"Additional comment on the question, ""From your perspective will computers ever be capable of being autonomously creative?""
Yes absolutely, this project is proof of that.",Unknown
6/13/18 21:12,6/13/18 21:15,IP Address,64.72.216.39,100,232,TRUE,6/13/18 21:15,R_eS6hXHa2hYDN2nv,,,,,40.39300537,-111.7837982,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,4,5,3,2,4,,,,,,,,4,4,4,5,5,1,5,5,4,5,4,4,,No,No,Absolutely,,
6/13/18 21:28,6/13/18 21:34,IP Address,75.174.1.236,100,395,TRUE,6/13/18 21:34,R_r2pLFyzKRyNGvlf,,,,,43.60560608,-116.5415039,anonymous,EN,,,,,,,,,,,,,,,2,3,1,2,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,4,3,3,4,4,,,,,,,,,,,,,,,2,2,3,1,3,,No,No,Not sure,,
6/13/18 21:26,6/13/18 21:38,IP Address,63.155.255.143,100,695,TRUE,6/13/18 21:38,R_25QpQnGQSlrjUCH,,,,,42.53860474,-123.3478012,social,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,5,4,4,2,3,,,,,,,,,,,,,,,,,,,,,,3,1,4,2,3,4,2,,,,,,,,4,3,3,2,4,I certainly know plenty of songs that take a lot of reflection to glean some sense — and that may be totally coincidental to the real intent of the creator. Seems like pop is making music to me. ,Yes,Yes,Not sure,Keep on cyber-rocking in the free world!,Unknown
6/13/18 21:41,6/13/18 21:46,IP Address,24.253.48.76,100,268,TRUE,6/13/18 21:46,R_1FIFE0F9nf52jLq,,,,,36.17500305,-115.1371994,social,EN,,,,,,,,4,4,4,4,4,4,5,,,,,,,,3,2,4,4,4,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,4,3,,No,No,Absolutely,,
6/13/18 21:40,6/13/18 22:00,IP Address,68.104.137.61,100,1198,TRUE,6/13/18 22:00,R_3qU6ES21RxDSNyp,,,,,32.24760437,-110.9499969,social,EN,3,3,3,3,3,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,4,4,4,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,1,4,2,"Pop follows a sequence of preprogrammed algorithms.  I would therefore describe the output of Pop* as being more representative of the creativity of its designer as well as the thoughts/moods of the people giving input tweets.  This being said, one could make the argument that combining ideas and generating from them something completely new is the epitome of creativity, regardless of whether or not the process was automated.  Thus, even though the machine is a machine it does mimic, in some way at least, some form of creativity.",Yes,Yes,Not sure,"""Autonomously creative"" needs a little more definition.  Autonomous in the sense that they will begin doing things and creating things themselves?  Never.  Autonomously creative in the sense that given the right input parameters, tuning, and training, they can find new thoughts/moods/ideas that humans themselves would never think of?  Absolutely.  ",Unknown
6/13/18 22:01,6/13/18 22:16,IP Address,67.163.64.174,100,887,TRUE,6/13/18 22:16,R_soKnGedalWsF8UV,,,,,40.29679871,-111.6761017,anonymous,EN,,,,,,,,,,,,,,,3,3,3,3,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2,2,2,4,2,,,,,,,,3,3,4,4,3,Pop seemed to always start with something in mind but delivered something different.,Yes,Yes,Not sure,,
6/13/18 22:10,6/13/18 22:17,IP Address,66.219.235.240,100,449,TRUE,6/13/18 22:17,R_2VkCdtIi3zqHfqf,,,,,40.21809387,-111.6132965,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,2,1,2,1,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,3,4,3,2,2,,,,,,,,,,,,,,,3,3,2,2,2,,Yes,No,Not sure,,
6/13/18 22:20,6/13/18 22:26,IP Address,67.166.68.71,100,349,TRUE,6/13/18 22:26,R_1j6V2zfTReqnpEh,,,,,40.31430054,-111.7116013,social,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,3,3,1,1,1,3,2,2,3,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,No,Yes,Not sure,,
6/13/18 22:16,6/13/18 22:27,IP Address,73.65.150.214,100,695,TRUE,6/13/18 22:27,R_3g7rYFGtp0l6pmP,,,,,40.39300537,-111.7837982,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,3,3,2,5,4,,,,,,,,4,3,4,4,3,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,5,3,4,The sings differed greatly in all metrics.,No,Yes,Absolutely,Keep going - this has serious promise!,Unknown
6/13/18 22:16,6/13/18 22:27,IP Address,73.65.150.214,100,669,TRUE,6/13/18 22:27,R_1kXKEgXcM2fjUn8,,,,,40.39300537,-111.7837982,anonymous,EN,,,,,,,,5,5,5,5,4,3,5,3,3,4,3,2,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,5,3,4,,No,Yes,Absolutely,,
6/13/18 22:29,6/13/18 22:35,IP Address,24.16.190.179,100,394,TRUE,6/13/18 22:35,R_2tmKln4boO8gcxA,,,,,47.36180115,-122.103302,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,1,2,4,1,4,2,3,1,2,3,1,3,4,2,3,2,1,The music was generic.,Yes,Yes,Not sure,,
6/13/18 22:42,6/13/18 22:47,IP Address,174.52.167.71,100,297,TRUE,6/13/18 22:47,R_2zIv5fJkCRPjUpY,,,,,40.31430054,-111.7116013,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,2,1,3,3,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,4,1,4,5,3,,,,,,,,,,,,,,,3,2,4,3,4,,No,Yes,Not sure,,
6/13/18 22:46,6/13/18 22:55,IP Address,71.236.139.23,100,519,TRUE,6/13/18 22:55,R_1IF6RGCuTMTLByi,,,,,44.06900024,-123.0825043,anonymous,EN,3,2,2,4,3,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,3,4,3,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,4,3,3,"I think I would enjoy it more if there was a prelude first without lyrics, where I could just enjoy the melody/instrumentals.  The timing of the lyrics seemed to detract from the overall experience.  But it is pretty amazing!!",No,Yes,Absolutely,This is a huge step forward.  Good work!,Unknown
6/13/18 23:09,6/13/18 23:15,IP Address,66.87.139.229,100,371,TRUE,6/13/18 23:15,R_3OiB6ExL30Ynuoi,,,,,47.62010193,-122.1408005,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,3,3,3,4,2,,,,,,,,3,2,4,4,3,4,2,,,,,,,,,,,,,,,4,3,4,2,4,,Yes,No,Absolutely,,
6/13/18 23:30,6/13/18 23:45,IP Address,70.187.178.182,100,906,TRUE,6/13/18 23:45,R_rikedN3Yhv1a60F,,,,,33.68969727,-117.8502045,anonymous,EN,,,,,,,,,,,,,,,2,2,2,2,2,4,4,1,1,1,1,1,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,"It's a machine, it has no autonomy or beliefs.",Yes,Yes,Not sure,"I have a PhD in artificial intelligence, and I still actively do research in this area. I would say our current AI (including systems like this one) are merely tools to aid the creativity of humans, not creative of themselves. Will they ever be autonomous and creative? That seems like a murky philosophical question. I don't know.",Unknown
6/13/18 23:48,6/13/18 23:53,IP Address,174.52.138.35,100,293,TRUE,6/13/18 23:53,R_W84CW73dInMLQTn,,,,,40.39300537,-111.7837982,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2,1,3,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,4,2,3,4,2,3,2,2,2,2,,Yes,Yes,Not sure,,
6/14/18 1:30,6/14/18 1:34,IP Address,88.203.78.34,100,227,TRUE,6/14/18 1:34,R_1jMLI15G5KiyzY6,,,,,35.87030029,14.51330566,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,3,2,2,,,,,,,,1,1,4,1,1,,Yes,No,Absolutely,,
